pipeline,repeat,outer_fold,balanced_accuracy,auroc_macro,best_inner_score,best_params,n_features_selected,selected_features,y_true,y_pred,fold_seconds
en_nmc,11,1,0.952381,0.96337,0.828889,"{""selector__C"": 7.74264, ""selector__l1_ratio"": 0.5, ""selector__top_k"": 20}",20,"chr17_35076296_35282086,chr1_199087690_199111062,chr23_3229_45135,chr6_32732764_32738443,chr17_41011530_41494331,chr16_68838368_69397102,chr12_67337260_132389367,chr1_149369522_149394958,chr16_68710277_68751390,chr3_196908262_196937230,chr15_22163893_32511475,chr1_17030134_22668805,chr6_32766023_91964331,chr22_37683612_37705310,chr5_69274433_96603723,chr8_28208003_35676140,chr12_36739877_67332062,chr14_22022060_73047267,chr1_193480150_193527058,chr17_42161364_42873571","HER2+,Triple Neg,HER2+,HR+,HER2+,HR+,Triple Neg,Triple Neg,HR+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,HR+,HER2+,Triple Neg,HER2+,HR+,HR+","HER2+,Triple Neg,HER2+,HR+,HER2+,HR+,Triple Neg,Triple Neg,HER2+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,HR+,HER2+,Triple Neg,HER2+,HR+,HR+",491.9
en_nmc,11,2,0.785714,0.896215,0.826667,"{""selector__C"": 0.16681, ""selector__l1_ratio"": 0.7, ""selector__top_k"": 20}",20,"chr17_35076296_35282086,chr12_36739877_67332062,chr16_68838368_69397102,chr17_41011530_41494331,chr11_89400624_134432265,chr15_18657388_18683110,chr22_37717564_49509094,chr3_164112881_193467200,chr15_739595_18454050,chr6_32766023_91964331,chr22_37683612_37705310,chr16_28087_14817706,chr17_77535412_78653545,chr16_69417987_69744010,chr17_42161364_42873571,chr23_96116_214107,chr12_67337260_132389367,chr22_24263116_37678070,chr14_105654998_105839439,chr5_96637773_180644810","HER2+,HR+,Triple Neg,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg,HR+,HER2+,HER2+,HER2+,HR+,HR+,HR+,Triple Neg,Triple Neg,Triple Neg","HER2+,Triple Neg,HR+,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg,HR+,HER2+,HER2+,HER2+,HR+,HR+,HR+,HR+,Triple Neg,HR+",516.6
en_nmc,11,3,0.75,0.926091,0.822222,"{""selector__C"": 2.15443, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 10}",10,"chr17_35076296_35282086,chr16_68838368_69397102,chr12_36739877_67332062,chr17_41011530_41494331,chr6_32732764_32738443,chr19_20422576_20493401,chr15_32523241_32594902,chr14_105602756_105630089,chr1_149369522_149394958,chr15_18657388_18683110","HER2+,Triple Neg,HR+,HER2+,HER2+,HR+,HR+,HR+,HR+,Triple Neg,HER2+,HR+,HR+,Triple Neg,Triple Neg,Triple Neg,HER2+,Triple Neg,HER2+,HR+","HER2+,HR+,HR+,HER2+,HER2+,HR+,HR+,Triple Neg,HR+,HR+,HER2+,Triple Neg,HR+,Triple Neg,HR+,Triple Neg,HER2+,Triple Neg,HER2+,HR+",498.0
en_nmc,11,4,0.761905,0.893773,0.831111,"{""selector__C"": 7.74264, ""selector__l1_ratio"": 0.7, ""selector__top_k"": 10}",10,"chr17_35076296_35282086,chr12_36739877_67332062,chr17_41011530_41494331,chr1_193480150_193527058,chr12_67337260_132389367,chr22_37683612_37705310,chr6_32766023_91964331,chr3_196908262_196937230,chr11_5777496_7757329,chr16_68838368_69397102","Triple Neg,Triple Neg,HR+,HER2+,HR+,HER2+,Triple Neg,HER2+,HR+,Triple Neg,HR+,Triple Neg,HER2+,HER2+,Triple Neg,HR+,HR+,Triple Neg,HR+,HER2+","Triple Neg,HR+,HR+,HER2+,HR+,HER2+,HER2+,HER2+,HR+,HER2+,HR+,HR+,HER2+,HER2+,Triple Neg,HR+,HR+,Triple Neg,Triple Neg,HER2+",517.2
en_nmc,11,5,0.801587,0.934676,0.795556,"{""selector__C"": 0.16681, ""selector__l1_ratio"": 0.5, ""selector__top_k"": 20}",20,"chr17_35076296_35282086,chr17_41011530_41494331,chr16_68838368_69397102,chr12_67337260_132389367,chr16_28087_14817706,chr11_89400624_134432265,chr12_36739877_67332062,chr5_96637773_180644810,chr15_32523241_32594902,chr17_42161364_42873571,chr6_32732764_32738443,chr17_41983407_42049540,chr22_37717564_49509094,chr15_18657388_18683110,chr15_22163893_32511475,chr5_69274433_96603723,chr6_30021894_32519935,chr1_149369522_149394958,chr23_3229_45135,chr6_32766023_91964331","HR+,Triple Neg,HR+,Triple Neg,HER2+,HR+,HER2+,Triple Neg,HER2+,Triple Neg,HR+,HER2+,HR+,HER2+,HR+,HER2+,Triple Neg,Triple Neg,Triple Neg,HR+","Triple Neg,Triple Neg,HR+,Triple Neg,HER2+,HR+,HER2+,HR+,HER2+,Triple Neg,Triple Neg,HER2+,HR+,Triple Neg,HR+,HER2+,Triple Neg,Triple Neg,Triple Neg,HR+",476.0
en_nmc,12,1,0.793651,0.929487,0.811111,"{""selector__C"": 0.599484, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 20}",20,"chr17_35076296_35282086,chr17_42161364_42873571,chr17_41011530_41494331,chr6_32732764_32738443,chr12_67337260_132389367,chr12_36739877_67332062,chr22_37683612_37705310,chr5_69274433_96603723,chr16_68710277_68751390,chr23_3229_45135,chr16_68838368_69397102,chr11_89400624_134432265,chr17_35286565_35427554,chr1_199087690_199111062,chr16_14956177_14988855,chr19_56816785_56859204,chr1_149369522_149394958,chr3_196908262_196937230,chr6_32766023_91964331,chr14_22022060_73047267","HER2+,HR+,HER2+,HR+,HER2+,Triple Neg,HR+,Triple Neg,Triple Neg,HER2+,HR+,HR+,Triple Neg,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg","HER2+,HR+,HER2+,HR+,HER2+,HR+,HER2+,HR+,Triple Neg,HER2+,Triple Neg,HR+,Triple Neg,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg",412.0
en_nmc,12,2,0.68254,0.848596,0.777778,"{""selector__C"": 0.16681, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 10}",10,"chr17_35076296_35282086,chr12_36739877_67332062,chr16_68838368_69397102,chr17_41011530_41494331,chr22_24263116_37678070,chr12_67337260_132389367,chr5_96637773_180644810,chr15_18657388_18683110,chr15_32523241_32594902,chr23_3229_45135","HER2+,HR+,HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,HER2+,Triple Neg,HR+,HR+,HER2+,Triple Neg,HER2+,Triple Neg,HR+,HR+,Triple Neg,HER2+","HER2+,Triple Neg,HR+,HR+,HR+,HER2+,HER2+,Triple Neg,HER2+,Triple Neg,HR+,HR+,HER2+,HR+,HER2+,HR+,HR+,Triple Neg,HR+,HER2+",428.9
en_nmc,12,3,0.583333,0.677827,0.797778,"{""selector__C"": 0.0129155, ""selector__l1_ratio"": 0.3, ""selector__top_k"": 5}",5,"chr17_35076296_35282086,chr6_1535319_30010234,chr6_30021894_32519935,chr6_32586131_32600962,chr6_32605300_32629848","HR+,Triple Neg,HER2+,Triple Neg,HER2+,Triple Neg,HR+,HER2+,HR+,HER2+,Triple Neg,Triple Neg,HR+,HR+,HER2+,HR+,Triple Neg,HER2+,HR+,HR+","HR+,HR+,HER2+,HR+,HER2+,HR+,HR+,HER2+,Triple Neg,HER2+,HR+,HR+,HR+,HR+,HER2+,HR+,HR+,HER2+,Triple Neg,HR+",420.1
en_nmc,12,4,0.714286,0.827839,0.864444,"{""selector__C"": 0.16681, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 10}",10,"chr17_35076296_35282086,chr3_196908262_196937230,chr17_41011530_41494331,chr22_37683612_37705310,chr16_68838368_69397102,chr1_149369522_149394958,chr11_89400624_134432265,chr6_92035339_170943103,chr12_67337260_132389367,chr17_42161364_42873571","Triple Neg,HER2+,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,HR+,Triple Neg,Triple Neg,HR+,HER2+,HER2+,HR+,Triple Neg,Triple Neg,Triple Neg,HR+,HR+","HR+,HER2+,HER2+,Triple Neg,HER2+,HER2+,HR+,Triple Neg,HR+,HR+,Triple Neg,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HR+,HR+",411.3
en_nmc,12,5,0.801587,0.937424,0.791111,"{""selector__C"": 0.0464159, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 10}",10,"chr17_35076296_35282086,chr17_41011530_41494331,chr6_92035339_170943103,chr16_68838368_69397102,chr6_32766023_91964331,chr12_36739877_67332062,chr17_42161364_42873571,chr6_32732764_32738443,chr12_67337260_132389367,chr15_22163893_32511475","HR+,Triple Neg,Triple Neg,HR+,HR+,Triple Neg,HER2+,HER2+,HER2+,HR+,HER2+,HR+,HER2+,HR+,HR+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HER2+","HR+,Triple Neg,Triple Neg,HR+,Triple Neg,HR+,HER2+,HER2+,HER2+,HR+,Triple Neg,Triple Neg,HER2+,HR+,HR+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HER2+",423.8
en_nmc,13,1,0.896825,0.942918,0.793333,"{""selector__C"": 0.599484, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 5}",5,"chr17_35076296_35282086,chr16_68838368_69397102,chr16_28087_14817706,chr12_36739877_67332062,chr6_32766023_91964331","HER2+,HR+,HR+,HR+,HER2+,HR+,HR+,Triple Neg,HER2+,Triple Neg,HER2+,Triple Neg,Triple Neg,HR+,HER2+,HER2+,HER2+,Triple Neg,Triple Neg,HR+","HER2+,HR+,HR+,HR+,HER2+,HR+,HR+,Triple Neg,HER2+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,HER2+,HER2+,HER2+,Triple Neg,Triple Neg,HR+",495.3
en_nmc,13,2,0.801587,0.897131,0.828889,"{""selector__C"": 27.8256, ""selector__l1_ratio"": 0.5, ""selector__top_k"": 50}",50,"chr17_35076296_35282086,chr22_37683612_37705310,chr3_196908262_196937230,chr17_77442683_77503685,chr16_28087_14817706,chr17_41011530_41494331,chr18_4316_76110964,chr16_68710277_68751390,chr15_18657388_18683110,chr23_3229_45135,chr6_32766023_91964331,chr15_53166_592121,chr12_9528590_9585156,chr7_143321677_143391065,chr1_199087690_199111062,chr6_1535319_30010234,chr20_29306447_40052114,chr1_149579637_149598429,chr17_42161364_42873571,chr20_8747_12478772,chr1_149369522_149394958,chr16_15039224_33875313,chr12_67337260_132389367,chr16_68838368_69397102,chr17_35444422_40926154,chr1_244693374_245014643,chr12_36739877_67332062,chr6_30021894_32519935,chr7_141965869_141978333,chr15_739595_18454050,chr6_92035339_170943103,chr11_89400624_134432265,chr1_193480150_193527058,chr17_22315936_22324326,chr14_105857193_105881279,chr8_63810_90816,chr15_22163893_32511475,chr6_32732764_32738443,chr10_115544_38563575,chr16_54390012_68679377,chr20_40075620_62379059,chr15_32523241_32594902,chr1_17030134_22668805,chr1_3149648_3157982,chr11_5742476_5762182,chr8_8148437_12448374,chr22_37717564_49509094,chr17_2361350_18868037,chr22_15433500_22665928,chr5_96637773_180644810","HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg,Triple Neg,HR+,Triple Neg,HER2+,HER2+,Triple Neg,HR+,HER2+,HER2+,HR+,HR+,Triple Neg,HER2+,HR+","Triple Neg,HER2+,HER2+,Triple Neg,HR+,Triple Neg,HR+,HR+,Triple Neg,HER2+,HER2+,Triple Neg,HR+,Triple Neg,HER2+,HR+,HR+,Triple Neg,Triple Neg,HR+",511.9
en_nmc,13,3,0.722222,0.863591,0.793333,"{""selector__C"": 0.16681, ""selector__l1_ratio"": 0.7, ""selector__top_k"": 5}",5,"chr17_35076296_35282086,chr16_68838368_69397102,chr12_36739877_67332062,chr17_41011530_41494331,chr12_67337260_132389367","HR+,Triple Neg,Triple Neg,HER2+,HR+,HER2+,HER2+,HR+,HR+,HR+,HER2+,HR+,Triple Neg,HR+,Triple Neg,HR+,Triple Neg,Triple Neg,HER2+,HER2+","Triple Neg,HR+,HR+,HER2+,HR+,HER2+,HER2+,HR+,HR+,Triple Neg,HER2+,HR+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HER2+,HER2+",504.6
en_nmc,13,4,0.904762,0.937729,0.808889,"{""selector__C"": 0.599484, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 10}",10,"chr17_35076296_35282086,chr16_68838368_69397102,chr12_36739877_67332062,chr17_41011530_41494331,chr14_105602756_105630089,chr11_89400624_134432265,chr16_28087_14817706,chr12_67337260_132389367,chr6_32732764_32738443,chr23_3229_45135","HER2+,Triple Neg,HR+,HER2+,HR+,HER2+,HER2+,Triple Neg,Triple Neg,Triple Neg,HR+,Triple Neg,HR+,HER2+,HER2+,HR+,Triple Neg,Triple Neg,HR+,HR+","HER2+,Triple Neg,HR+,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,Triple Neg,HR+,Triple Neg,HR+,HER2+,HER2+,HR+,Triple Neg,Triple Neg,HR+,Triple Neg",496.0
en_nmc,13,5,0.563492,0.715201,0.848889,"{""selector__C"": 0.599484, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 20}",20,"chr17_35076296_35282086,chr12_36739877_67332062,chr16_68838368_69397102,chr17_41011530_41494331,chr22_37683612_37705310,chr1_149369522_149394958,chr15_32523241_32594902,chr6_32766023_91964331,chr1_120313797_120737345,chr12_67337260_132389367,chr17_77535412_78653545,chr22_15433500_22665928,chr3_586636_75535753,chr3_196908262_196937230,chr22_24263116_37678070,chr15_22163893_32511475,chr23_89001120_90763396,chr2_91057159_91321476,chr3_164112881_193467200,chr1_199087690_199111062","Triple Neg,Triple Neg,HER2+,HER2+,HR+,HER2+,HR+,HR+,Triple Neg,HER2+,Triple Neg,HR+,HER2+,HR+,Triple Neg,HR+,HR+,HER2+,Triple Neg,Triple Neg","HR+,HR+,HER2+,HER2+,Triple Neg,HER2+,HR+,HR+,HR+,HER2+,HER2+,HR+,Triple Neg,Triple Neg,HR+,HR+,HR+,HER2+,Triple Neg,HR+",498.1
en_nmc,14,1,0.857143,0.992674,0.795556,"{""selector__C"": 2.15443, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 20}",20,"chr17_35076296_35282086,chr17_41011530_41494331,chr1_149369522_149394958,chr16_68838368_69397102,chr22_37683612_37705310,chr17_42161364_42873571,chr5_69274433_96603723,chr6_32766023_91964331,chr15_22163893_32511475,chr16_68710277_68751390,chr12_36739877_67332062,chr6_32732764_32738443,chr3_196908262_196937230,chr12_67337260_132389367,chr8_28208003_35676140,chr1_17030134_22668805,chr15_20307869_21982746,chr16_45058242_54336421,chr6_92035339_170943103,chr17_35444422_40926154","HER2+,Triple Neg,HR+,HER2+,Triple Neg,HER2+,HR+,HR+,HER2+,HR+,Triple Neg,HR+,HER2+,HER2+,HR+,HER2+,Triple Neg,Triple Neg,Triple Neg,HR+","HER2+,Triple Neg,HR+,HER2+,Triple Neg,HER2+,Triple Neg,HR+,HER2+,HR+,Triple Neg,HER2+,HER2+,HER2+,HR+,HER2+,Triple Neg,Triple Neg,Triple Neg,Triple Neg",435.5
en_nmc,14,2,0.579365,0.746947,0.784444,"{""selector__C"": 0.00359381, ""selector__l1_ratio"": 0.1, ""selector__top_k"": 5}",5,"chr17_35076296_35282086,chr6_1535319_30010234,chr6_30021894_32519935,chr6_32586131_32600962,chr6_32605300_32629848","HR+,HER2+,Triple Neg,Triple Neg,Triple Neg,Triple Neg,HR+,HER2+,HR+,Triple Neg,HER2+,HR+,HR+,HER2+,HR+,HER2+,HER2+,Triple Neg,HR+,HER2+","HER2+,HER2+,HR+,HR+,HER2+,HER2+,HR+,HER2+,HR+,Triple Neg,Triple Neg,Triple Neg,HR+,HER2+,HR+,HER2+,HER2+,HR+,HR+,HER2+",410.2
en_nmc,14,3,0.847222,0.978671,0.784444,"{""selector__C"": 0.16681, ""selector__l1_ratio"": 0.9, ""selector__top_k"": 10}",10,"chr17_35076296_35282086,chr16_68838368_69397102,chr17_41011530_41494331,chr12_36739877_67332062,chr15_18657388_18683110,chr16_28087_14817706,chr6_32766023_91964331,chr5_69274433_96603723,chr22_24263116_37678070,chr11_89400624_134432265","HER2+,HR+,Triple Neg,HER2+,HER2+,HR+,HER2+,HR+,Triple Neg,HER2+,Triple Neg,HR+,HR+,HER2+,HR+,Triple Neg,Triple Neg,HR+,Triple Neg,HR+","HER2+,HR+,HR+,HER2+,HER2+,HR+,HER2+,HR+,Triple Neg,HER2+,HR+,HR+,HR+,HER2+,Triple Neg,Triple Neg,Triple Neg,HR+,Triple Neg,HR+",416.9
